phase_name,phase_idx,step,state,action,action_name,reward,next_state
addiction,1,355,17,3,as5,-1.2,17
addiction,1,356,17,1,as3,-1.2,17
addiction,1,357,17,4,as6,-1.2,17
addiction,1,358,17,6,ag,-1.2,17
addiction,1,359,17,2,as4,-1.2,17
addiction,1,360,17,7,ad,-1.2,18
addiction,1,361,18,8,aw,-1.2,19
addiction,1,362,19,5,as7,-1.2,19
addiction,1,363,19,8,aw,-1.2,20
addiction,1,364,20,6,ag,-1.2,20
addiction,1,365,20,0,as2,-1.2,20
addiction,1,366,20,0,as2,-1.2,20
addiction,1,367,20,0,as2,-1.2,20
addiction,1,368,20,8,aw,-1.2,21
addiction,1,369,21,7,ad,0.0,7
addiction,1,370,7,8,aw,-1.2,21
addiction,1,371,21,7,ad,0.0,7
addiction,1,372,7,7,ad,-1.2,8
addiction,1,373,8,7,ad,0.0,7
addiction,1,374,7,8,aw,-1.2,8
addiction,1,375,8,2,as4,-1.2,8
addiction,1,376,8,5,as7,-1.2,8
addiction,1,377,8,7,ad,-1.2,9
addiction,1,378,9,8,aw,-1.2,8
addiction,1,379,8,1,as3,-1.2,8
addiction,1,380,8,8,aw,0.0,7
addiction,1,381,7,2,as4,-1.2,7
addiction,1,382,7,8,aw,-1.2,21
addiction,1,383,21,7,ad,0.0,7
addiction,1,384,7,8,aw,-1.2,8
addiction,1,385,8,7,ad,-1.2,9
addiction,1,386,9,7,ad,-1.2,10
addiction,1,387,10,0,as2,-1.2,10
addiction,1,388,10,7,ad,-1.2,9
addiction,1,389,9,1,as3,-1.2,9
addiction,1,390,9,4,as6,-1.2,9
addiction,1,391,9,4,as6,-1.2,9
addiction,1,392,9,0,as2,-1.2,9
addiction,1,393,9,5,as7,-1.2,9
addiction,1,394,9,1,as3,-1.2,9
addiction,1,395,9,7,ad,-1.2,10
addiction,1,396,10,5,as7,-1.2,10
addiction,1,397,10,1,as3,-1.2,10
addiction,1,398,10,7,ad,-1.2,9
addiction,1,399,9,8,aw,-1.2,8
addiction,1,400,8,7,ad,-1.2,9
addiction,1,401,9,3,as5,-1.2,9
addiction,1,402,9,7,ad,-1.2,10
addiction,1,403,10,1,as3,-1.2,10
addiction,1,404,10,7,ad,-1.2,11
addiction,1,405,11,2,as4,-1.2,11
addiction,1,406,11,4,as6,-1.2,11
addiction,1,407,11,5,as7,-1.2,11
addiction,1,408,11,7,ad,-1.2,10
addiction,1,409,10,3,as5,-1.2,10
addiction,1,410,10,8,aw,-1.2,11
addiction,1,411,11,4,as6,-1.2,11
addiction,1,412,11,5,as7,-1.2,11
addiction,1,413,11,4,as6,-1.2,11
addiction,1,414,11,8,aw,-1.2,10
addiction,1,415,10,5,as7,-1.2,10
addiction,1,416,10,8,aw,-1.2,11
addiction,1,417,11,7,ad,-1.2,12
addiction,1,418,12,0,as2,-1.2,12
addiction,1,419,12,8,aw,-1.2,13
addiction,1,420,13,7,ad,-1.2,14
addiction,1,421,14,0,as2,-1.2,14
addiction,1,422,14,5,as7,-1.2,14
addiction,1,423,14,2,as4,-1.2,14
addiction,1,424,14,0,as2,-1.2,14
addiction,1,425,14,7,ad,-1.2,13
addiction,1,426,13,1,as3,-1.2,13
addiction,1,427,13,8,aw,-1.2,12
addiction,1,428,12,4,as6,-1.2,12
addiction,1,429,12,7,ad,-1.2,13
addiction,1,430,13,7,ad,-1.2,14
addiction,1,431,14,8,aw,-4.0,3
addiction,1,432,3,3,as5,0.0,4
addiction,1,433,4,6,ag,0.0,4
addiction,1,434,4,4,as6,0.0,5
addiction,1,435,5,8,aw,0.0,5
addiction,1,436,5,5,as7,0.0,6
addiction,1,437,6,1,as3,0.0,6
addiction,1,438,6,1,as3,0.0,6
addiction,1,439,6,1,as3,0.0,6
addiction,1,440,6,1,as3,0.0,6
addiction,1,441,6,1,as3,0.0,6
addiction,1,442,6,7,ad,10.0,7
addiction,1,443,7,7,ad,-1.2,21
addiction,1,444,21,7,ad,0.0,7
addiction,1,445,7,7,ad,-1.2,8
addiction,1,446,8,8,aw,-1.2,9
addiction,1,447,9,7,ad,-1.2,10
addiction,1,448,10,3,as5,-1.2,10
addiction,1,449,10,2,as4,-1.2,10
addiction,1,450,10,7,ad,-1.2,11
addiction,1,451,11,8,aw,-1.2,12
addiction,1,452,12,3,as5,-1.2,12
addiction,1,453,12,5,as7,-1.2,12
addiction,1,454,12,1,as3,-1.2,12
addiction,1,455,12,7,ad,-1.2,11
addiction,1,456,11,8,aw,-1.2,12
addiction,1,457,12,8,aw,-1.2,11
addiction,1,458,11,7,ad,-1.2,12
addiction,1,459,12,8,aw,-1.2,11
addiction,1,460,11,7,ad,-1.2,12
addiction,1,461,12,5,as7,-1.2,12
addiction,1,462,12,2,as4,-1.2,12
addiction,1,463,12,8,aw,-1.2,13
addiction,1,464,13,7,ad,-1.2,14
addiction,1,465,14,8,aw,-1.2,15
addiction,1,466,15,8,aw,-1.2,16
addiction,1,467,16,3,as5,-1.2,16
addiction,1,468,16,8,aw,-1.2,17
addiction,1,469,17,8,aw,-1.2,16
addiction,1,470,16,7,ad,-1.2,17
addiction,1,471,17,8,aw,-1.2,16
addiction,1,472,16,7,ad,-1.2,17
addiction,1,473,17,0,as2,-1.2,17
addiction,1,474,17,2,as4,-1.2,17
addiction,1,475,17,6,ag,-1.2,17
addiction,1,476,17,8,aw,-1.2,16
addiction,1,477,16,1,as3,-1.2,16
addiction,1,478,16,6,ag,-1.2,16
addiction,1,479,16,3,as5,-1.2,16
addiction,1,480,16,2,as4,-1.2,16
addiction,1,481,16,8,aw,-1.2,15
addiction,1,482,15,4,as6,-1.2,15
addiction,1,483,15,1,as3,-1.2,15
addiction,1,484,15,7,ad,-1.2,16
addiction,1,485,16,4,as6,-1.2,16
addiction,1,486,16,7,ad,-1.2,17
addiction,1,487,17,7,ad,-1.2,18
addiction,1,488,18,1,as3,-1.2,18
addiction,1,489,18,3,as5,-1.2,18
addiction,1,490,18,4,as6,-1.2,18
addiction,1,491,18,0,as2,-1.2,18
addiction,1,492,18,1,as3,-1.2,18
addiction,1,493,18,6,ag,-1.2,18
